"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"BA","2902005","Aracatu","14023","0","0","14023","-41.462","-14.428"
"BA","2902054","Araças","12495","0","0","12495","-38.203","-12.22"
"BA","2902104","Araci","55636","1","0","55637","-38.967","-11.333"
"BA","2902203","Aramari","11385","0","0","11385","-38.499","-12.082"
"BA","2902252","Arataca","11697","0","0","11697","-39.414","-15.263"
"BA","2902302","Aratuípe","9150","0","0","9150","-39.002","-13.079"
"BA","2902401","Aurelino Leal","12890","1","0","12891","-39.327","-14.317"
"BA","2902500","Baianópolis","14262","0","0","14262","-44.535","-12.306"
"BA","2902609","Baixa Grande","21393","0","0","21393","-40.168","-11.96"
"BA","2902658","Banzaê","13738","0","0","13738","-38.615","-10.577"
"BA","2902708","Barra","54561","2","0","54563","-43.142","-11.089"
"BA","2902807","Barra da Estiva","22232","0","0","22232","-41.327","-13.626"
"BA","2902906","Barra do Choça","34420","1","0","34421","-40.579","-14.881"
"BA","2903003","Barra do Mendes","14570","0","0","14570","-42.059","-11.81"
"BA","2903102","Barra do Rocha","6335","3","0","6338","-39.602","-14.211"
"BA","2903201","Barreiras","155518","1","0","155519","-44.99","-12.153"
"BA","2903235","Barro Alto","15093","0","0","15093","-41.912","-11.761"
"BA","2903276","Barrocas","16167","0","0","16167","-39.078","-11.529"
"BA","2903300","Barro Preto","6367","0","0","6367","-39.471","-14.81"
"BA","2903409","Belmonte","23889","2","0","23891","-38.883","-15.863"
"BA","2903508","Belo Campo","18312","0","0","18312","-41.26","-15.038"
"BA","2903607","Biritinga","16628","0","0","16628","-38.8","-11.617"
"BA","2903706","Boa Nova","14314","0","0","14314","-40.208","-14.363"
"BA","2903805","Boa Vista do Tupim","19516","0","0","19516","-40.609","-12.66"
"BA","2903904","Bom Jesus da Lapa","70089","1","0","70090","-43.418","-13.255"
"BA","2903953","Bom Jesus da Serra","10515","0","0","10515","-40.504","-14.372"
"BA","2904001","Boninal","14675","0","0","14675","-41.828","-12.702"
"BA","2904050","Bonito","17006","0","0","17006","-41.267","-11.966"
"BA","2904100","Boquira","22448","0","0","22448","-42.731","-12.823"
"BA","2904209","Botuporã","10957","0","0","10957","-42.523","-13.382"
"BA","2904308","Brejões","15166","0","0","15166","-39.796","-13.104"
"BA","2904407","Brejolândia","10768","0","0","10768","-43.966","-12.483"
"BA","2904506","Brotas de Macaúbas","11049","0","0","11049","-42.626","-11.999"
"BA","2904605","Brumado","69465","8","0","69473","-41.665","-14.204"
"BA","2904704","Buerarema","19269","0","0","19269","-39.3","-14.959"
"BA","2904753","Buritirama","21671","0","0","21671","-43.631","-10.708"
"BA","2904803","Caatiba","10044","0","0","10044","-40.408","-14.977"
"BA","2904852","Cabaceiras do Paraguaçu","19199","0","0","19199","-39.191","-12.536"
"BA","2904902","Cachoeira","35012","1","0","35013","-38.956","-12.618"
"BA","2905008","Caculé","23685","0","0","23685","-42.222","-14.503"
"BA","2905107","Caém","10179","0","0","10179","-40.435","-11.091"
"BA","2905156","Caetanos","16045","0","0","16045","-40.91","-14.338"
"BA","2905206","Caetité","52696","0","0","52696","-42.475","-14.069"
"BA","2905305","Cafarnaum","18917","0","0","18917","-41.468","-11.694"
"BA","2905404","Cairu","17985","0","0","17985","-39.044","-13.487"
"BA","2905503","Caldeirão Grande","13643","0","0","13643","-40.303","-11.02"
"BA","2905602","Camacan","33256","1","0","33257","-39.496","-15.419"
"BA","2905701","Camaçari","292061","13","0","292074","-38.324","-12.698"
"BA","2905800","Camamu","36543","0","0","36543","-39.104","-13.945"
"BA","2905909","Campo Alegre de Lourdes","29994","0","0","29994","-43.011","-9.516"
"BA","2906006","Campo Formoso","73117","1","0","73118","-40.321","-10.509"
"BA","2906105","Canápolis","10146","0","0","10146","-44.202","-13.07"
"BA","2906204","Canarana","26701","1","0","26702","-41.769","-11.685"
"BA","2906303","Canavieiras","33129","1","0","33130","-38.947","-15.675"
"BA","2906402","Candeal","8894","0","0","8894","-39.119","-11.808"
"BA","2906501","Candeias","89270","1","0","89271","-38.551","-12.668"
"BA","2906600","Candiba","14732","0","0","14732","-42.867","-14.411"
"BA","2906709","Cândido Sales","26760","0","0","26760","-41.239","-15.505"
"BA","2906808","Cansanção","36104","1","0","36105","-39.498","-10.671"
"BA","2906824","Canudos","17222","0","0","17222","-39.164","-9.964"
"BA","2906857","Capela do Alto Alegre","12203","0","0","12203","-39.838","-11.668"
"BA","2906873","Capim Grosso","31180","1","0","31181","-40.013","-11.381"
"BA","2906899","Caraíbas","9890","0","0","9890","-41.335","-14.6"
"BA","2906907","Caravelas","22646","0","0","22646","-39.266","-17.732"
"BA","2907004","Cardeal da Silva","9809","0","0","9809","-37.949","-11.942"
"BA","2907103","Carinhanha","30041","0","0","30041","-43.765","-14.305"
"BA","2907202","Casa Nova","72798","0","0","72798","-40.971","-9.162"
"BA","2907301","Castro Alves","27161","0","0","27161","-39.428","-12.766"
"BA","2907400","Catolândia","3695","0","0","3695","-44.861","-12.318"
"BA","2907509","Catu","56034","3","0","56037","-38.379","-12.353"
"BA","2907558","Caturama","9764","0","0","9764","-42.291","-13.329"
"BA","2907608","Central","17935","0","0","17935","-42.113","-11.136"
"BA","2907707","Chorrochó","11558","0","0","11558","-39.094","-8.98"
"BA","2907806","Cícero Dantas","34581","0","0","34581","-38.383","-10.6"
"BA","2907905","Cipó","17673","0","0","17673","-38.517","-11.1"
"BA","2908002","Coaraci","19381","2","0","19383","-39.551","-14.641"
"BA","2908101","Cocos","19449","0","0","19449","-44.534","-14.184"
"BA","2908200","Conceição da Feira","22840","0","0","22840","-38.999","-12.506"
"BA","2908309","Conceição do Almeida","18278","0","0","18278","-39.164","-12.809"
"BA","2908408","Conceição do Coité","67873","2","0","67875","-39.283","-11.564"
"BA","2908507","Conceição do Jacuípe","33623","1","0","33624","-38.765","-12.327"
"BA","2908606","Conde","26411","1","0","26412","-37.611","-11.814"
"BA","2908705","Condeúba","18229","0","0","18229","-41.969","-14.895"
"BA","2908804","Contendas do Sincorá","4312","0","0","4312","-41.041","-13.763"
"BA","2908903","Coração de Maria","23961","0","0","23961","-38.75","-12.233"
"BA","2909000","Cordeiros","8870","0","0","8870","-41.935","-15.039"
"BA","2909109","Coribe","14954","0","0","14954","-44.454","-13.829"
"BA","2909208","Coronel João Sá","16951","0","0","16951","-37.926","-10.284"
"BA","2909307","Correntina","33275","0","0","33275","-44.637","-13.343"
"BA","2909406","Cotegipe","14409","0","0","14409","-44.258","-12.028"
"BA","2909505","Cravolândia","5568","0","0","5568","-39.815","-13.359"
"BA","2909604","Crisópolis","21700","0","0","21700","-38.15","-11.511"
"BA","2909703","Cristópolis","14354","0","0","14354","-44.421","-12.234"
"BA","2909802","Cruz das Almas","64552","0","0","64552","-39.102","-12.67"
"BA","2909901","Curaçá","35320","0","0","35320","-39.908","-8.992"
"BA","2910008","Dário Meira","11864","0","0","11864","-39.908","-14.436"
"BA","2910057","Dias d'Ávila","79400","1","0","79401","-38.297","-12.613"
"BA","2910107","Dom Basílio","12553","0","0","12553","-41.771","-13.76"
"BA","2910206","Dom Macedo Costa","4201","0","0","4201","-39.193","-12.905"
"BA","2910305","Elísio Medrado","8448","0","0","8448","-39.522","-12.946"
"BA","2910404","Encruzilhada","19837","0","0","19837","-40.909","-15.531"
"BA","2910503","Entre Rios","43172","0","0","43172","-38.084","-11.942"
"BA","2910602","Esplanada","37085","0","0","37085","-37.945","-11.796"
"BA","2910701","Euclides da Cunha","61617","1","0","61618","-39.014","-10.508"
"BA","2910727","Eunápolis","114275","0","0","114275","-39.58","-16.378"
